nama_venue,review_positif,review_negatif,kata_kunci_positif,kata_kunci_negatif
Padel Pro Indonesia,"Lapangan berkualitas tinggi, fasilitas lengkap, staff ramah, lokasi strategis, suasana nyaman","Harga mahal, sulit booking di peak hours, kadang terlalu ramai, AC kurang dingin","berkualitas, lengkap, ramah, strategis, nyaman","mahal, sulit, ramai, kurang"
Padel Club Jakarta,"Tempat bermain padel terbaik di Jakarta, fasilitas lengkap, lapangan terawat, staff profesional","Harga premium, parkir terbatas, sulit booking weekend, kadang terlalu ramai","terbaik, lengkap, terawat, profesional","premium, terbatas, sulit, ramai"
Racquet Padel Club,"Lapangan premium, lokasi strategis, cafe nyaman, pelatih berpengalaman, komunitas aktif","Harga sangat mahal, sulit booking di peak hours, lokasi macet, parkir terbatas","premium, strategis, nyaman, berpengalaman, aktif","mahal, sulit, macet, terbatas"
Padel House,"Fasilitas lengkap, lapangan bagus, lokasi mudah diakses, staff ramah, harga sesuai kualitas","Harga cukup mahal, kadang booking system error, AC kadang kurang dingin","lengkap, bagus, mudah, ramah, sesuai","mahal, error, kurang"
The Maj Padel,"Lapangan berkualitas internasional, fasilitas premium, lokasi strategis, pelatih profesional","Harga sangat premium, sulit booking weekend, kadang terlalu ramai, lokasi macet","internasional, premium, strategis, profesional","premium, sulit, ramai, macet"
Senayan Padel,"Lokasi strategis, lapangan terawat, staff ramah, sistem booking mudah, suasana nyaman","Harga mahal, parkir terbatas, kadang terlalu ramai, sulit booking peak hours","strategis, terawat, ramah, mudah, nyaman","mahal, terbatas, ramai, sulit"
Padel Kemang,"Lapangan bagus, lokasi tenang, staff membantu, harga terjangkau untuk area Kemang","Akses agak tersembunyi, parkir terbatas, kadang booking system error","bagus, tenang, membantu, terjangkau","tersembunyi, terbatas, error"
Pondok Indah Padel,"Fasilitas lengkap, lapangan terawat, lokasi premium, parkir luas, cafe nyaman","Harga mahal, lokasi macet di jam sibuk, kadang terlalu ramai di weekend","lengkap, terawat, premium, luas, nyaman","mahal, macet, ramai"
Jakarta Padel Club,"Lapangan bagus, harga terjangkau, lokasi strategis, staff ramah, sistem booking mudah","Fasilitas standar, kadang booking system error, AC kurang dingin, toilet terbatas","bagus, terjangkau, strategis, ramah, mudah","standar, error, kurang, terbatas"
West Padel,"Lapangan terawat, harga bersaing, lokasi mudah diakses, parkir luas, staff membantu","Lapangan kadang licin, fasilitas standar, toilet kurang bersih, parkir terbatas","terawat, bersaing, mudah, luas, membantu","licin, standar, kurang, terbatas"
Padel Puri,"Fasilitas lengkap, harga reasonable, lokasi strategis, staff ramah, suasana nyaman","Lokasi agak tersembunyi, kadang booking system error, fasilitas standar","lengkap, reasonable, strategis, ramah, nyaman","tersembunyi, error, standar"
East Padel Arena,"Lapangan standar, harga terjangkau, lokasi mudah diakses, staff ramah, parkir luas","Fasilitas minimal, lapangan kadang licin, toilet terbatas, lokasi agak jauh","standar, terjangkau, mudah, ramah, luas","minimal, licin, terbatas, jauh"
Padel Cakung,"Lapangan terawat, harga bersaing, lokasi strategis, staff membantu, suasana nyaman","Fasilitas standar, kadang booking system error, AC kurang dingin, parkir terbatas","terawat, bersaing, strategis, membantu, nyaman","standar, error, kurang, terbatas"
North Padel,"Lapangan standar, harga terjangkau, lokasi mudah diakses, staff ramah, parkir cukup","Fasilitas minimal, lapangan kadang licin, toilet terbatas, lokasi agak jauh","standar, terjangkau, mudah, ramah, cukup","minimal, licin, terbatas, jauh"
Kelapa Gading Padel,"Lapangan terawat, harga bersaing, lokasi strategis, staff membantu, sistem booking mudah","Fasilitas standar, kadang booking system error, AC kurang dingin, parkir terbatas","terawat, bersaing, strategis, membantu, mudah","standar, error, kurang, terbatas"
BSD Padel Club,"Lapangan berkualitas, fasilitas lengkap, lokasi strategis, staff ramah, harga reasonable","Lokasi agak jauh, kadang sepi, fasilitas standar, toilet terbatas","berkualitas, lengkap, strategis, ramah, reasonable","jauh, sepi, standar, terbatas"
Goat Padel Court,"Lapangan bagus, lokasi mudah diakses, staff profesional, harga bersaing, suasana nyaman","Akses agak tersembunyi, kadang booking system error, fasilitas standar","bagus, mudah, profesional, bersaing, nyaman","tersembunyi, error, standar"
Serpong Padel,"Lapangan terawat, lokasi strategis, staff ramah, harga terjangkau, parkir luas","Lokasi agak jauh, kadang sepi di weekday, fasilitas standar","terawat, strategis, ramah, terjangkau, luas","jauh, sepi, standar"
GO Padel,"Lapangan standar, harga terjangkau, lokasi mudah diakses, staff ramah, parkir luas","Fasilitas minimal, lapangan kadang licin, toilet terbatas, lokasi agak jauh","standar, terjangkau, mudah, ramah, luas","minimal, licin, terbatas, jauh"
Powerhouse Padel,"Lapangan terawat, harga bersaing, lokasi strategis, staff membantu, suasana nyaman","Fasilitas standar, kadang booking system error, AC kurang dingin, parkir terbatas","terawat, bersaing, strategis, membantu, nyaman","standar, error, kurang, terbatas"
Bekasi Padel Center,"Lapangan standar, harga terjangkau, lokasi mudah diakses, staff ramah, parkir cukup","Fasilitas minimal, lapangan kadang licin, toilet terbatas, lokasi agak jauh","standar, terjangkau, mudah, ramah, cukup","minimal, licin, terbatas, jauh"
Depok Padel Arena,"Lapangan standar, harga terjangkau, lokasi strategis, staff ramah, cocok untuk pemula","Fasilitas minimal, lapangan kadang licin, toilet terbatas, lokasi agak jauh","standar, terjangkau, strategis, ramah, pemula","minimal, licin, terbatas, jauh"
